Feature,Coefficient
query_entropy,0.20250973830135377
has_negation,0.19995237715443817
has_comparison,0.17685801992746275
low_score_fraction,-0.15263259044394964
query_length,-0.12406782827836874
bm25_dense_agreement,-0.11511875809896993
score_mean,-0.08988601837538841
avg_word_length,-0.07887240234871161
context_density,0.06324619529307411
score_gap,-0.056324225278056965
has_conditional,-0.05195968010196207
score_ratio,-0.04801553071897431
score_variance,0.02699366156215522
score_entropy,-0.025411324214692627
named_entity_count,0.008567694859251487
retrieval_hit,0.0
top_score,0.0
question_count,0.0
