threshold,target_budget_pct,actual_cost_fraction,bertscore_f1,rouge_l_f1,full_llm_fraction,cost_savings_fraction
0.0,,0.0,0.816394,,0.0,1.0
0.01,,0.0,0.816394,,0.0,1.0
0.02,,0.0,0.816394,,0.0,1.0
0.03,,0.0,0.816394,,0.0,1.0
0.04,,0.0,0.816394,,0.0,1.0
0.05,,0.0,0.816394,,0.0,1.0
0.06,,0.0,0.816394,,0.0,1.0
0.07,,0.0,0.816394,,0.0,1.0
0.08,,0.0,0.816394,,0.0,1.0
0.09,,0.0,0.816394,,0.0,1.0
0.1,,0.0,0.816394,,0.0,1.0
0.11,,0.0,0.816394,,0.0,1.0
0.12,,0.0,0.816394,,0.0,1.0
0.13,,0.0,0.816394,,0.0,1.0
0.14,,0.0,0.816394,,0.0,1.0
0.15,,0.0,0.816394,,0.0,1.0
0.16,,0.0,0.816394,,0.0,1.0
0.17,,0.0,0.816394,,0.0,1.0
0.18,,0.0,0.816394,,0.0,1.0
0.19,,0.0,0.816394,,0.0,1.0
0.2,,0.0,0.816394,,0.0,1.0
0.21,,0.0,0.816394,,0.0,1.0
0.22,,0.0,0.816394,,0.0,1.0
0.23,,0.0,0.816394,,0.0,1.0
0.24,,0.0,0.816394,,0.0,1.0
0.25,,0.0,0.816394,,0.0,1.0
0.26,,0.0,0.816394,,0.0,1.0
0.27,,0.0,0.816394,,0.0,1.0
0.28,,0.0,0.816394,,0.0,1.0
0.29,,0.0,0.816394,,0.0,1.0
0.3,,0.0,0.816394,,0.0,1.0
0.31,,0.0,0.816394,,0.0,1.0
0.32,,0.0,0.816394,,0.0,1.0
0.33,,0.0,0.816394,,0.0,1.0
0.34,,0.0,0.816394,,0.0,1.0
0.35,,0.0,0.816394,,0.0,1.0
0.36,,0.0,0.816394,,0.0,1.0
0.37,,0.0,0.816394,,0.0,1.0
0.38,,0.0,0.816394,,0.0,1.0
0.39,,0.0,0.816394,,0.0,1.0
0.4,,0.0,0.816394,,0.0,1.0
0.41,,0.0,0.816394,,0.0,1.0
0.42,,0.0,0.816394,,0.0,1.0
0.43,,0.0,0.816394,,0.0,1.0
0.44,,0.0,0.816394,,0.0,1.0
0.45,,0.0,0.816394,,0.0,1.0
0.46,,0.0,0.816394,,0.0,1.0
0.47,,0.0,0.816394,,0.0,1.0
0.48,,0.0,0.816394,,0.0,1.0
0.49,,0.0,0.816394,,0.0,1.0
0.5,,0.0,0.816394,,0.0,1.0
0.51,,0.0,0.816394,,0.0,1.0
0.52,,0.0,0.816394,,0.0,1.0
0.53,,0.0,0.816394,,0.0,1.0
0.54,,0.001515,0.816538,,0.001515,0.998485
0.55,,0.004545,0.816946,,0.004545,0.995455
0.56,,0.006061,0.817041,,0.006061,0.993939
0.57,,0.013636,0.817716,,0.013636,0.986364
0.58,,0.034848,0.819175,,0.034848,0.965152
0.59,,0.074242,0.822368,,0.074242,0.925758
0.6,,0.143939,0.828148,,0.143939,0.856061
0.61,,0.304545,0.840675,,0.304545,0.695455
0.62,,0.486364,0.85575,,0.486364,0.513636
0.63,,0.704545,0.871731,,0.704545,0.295455
0.64,,0.871212,0.883824,,0.871212,0.128788
0.65,,0.951515,0.887858,,0.951515,0.048485
0.66,,0.980303,0.890149,,0.980303,0.019697
0.67,,0.992424,0.890931,,0.992424,0.007576
0.68,,0.993939,0.890988,,0.993939,0.006061
0.69,,0.993939,0.890988,,0.993939,0.006061
0.7,,0.993939,0.890988,,0.993939,0.006061
0.71,,0.993939,0.890988,,0.993939,0.006061
0.72,,0.993939,0.890988,,0.993939,0.006061
0.73,,0.993939,0.890988,,0.993939,0.006061
0.74,,0.993939,0.890988,,0.993939,0.006061
0.75,,0.993939,0.890988,,0.993939,0.006061
0.76,,0.993939,0.890988,,0.993939,0.006061
0.77,,0.995455,0.89097,,0.995455,0.004545
0.78,,1.0,0.891267,,1.0,0.0
0.79,,1.0,0.891267,,1.0,0.0
0.8,,1.0,0.891267,,1.0,0.0
0.81,,1.0,0.891267,,1.0,0.0
0.82,,1.0,0.891267,,1.0,0.0
0.83,,1.0,0.891267,,1.0,0.0
0.84,,1.0,0.891267,,1.0,0.0
0.85,,1.0,0.891267,,1.0,0.0
0.86,,1.0,0.891267,,1.0,0.0
0.87,,1.0,0.891267,,1.0,0.0
0.88,,1.0,0.891267,,1.0,0.0
0.89,,1.0,0.891267,,1.0,0.0
0.9,,1.0,0.891267,,1.0,0.0
0.91,,1.0,0.891267,,1.0,0.0
0.92,,1.0,0.891267,,1.0,0.0
0.93,,1.0,0.891267,,1.0,0.0
0.94,,1.0,0.891267,,1.0,0.0
0.95,,1.0,0.891267,,1.0,0.0
0.96,,1.0,0.891267,,1.0,0.0
0.97,,1.0,0.891267,,1.0,0.0
0.98,,1.0,0.891267,,1.0,0.0
0.99,,1.0,0.891267,,1.0,0.0
1.0,,1.0,0.891267,,1.0,0.0
